depth_mm,hardness_HV
0.0000,737.6
0.1562,707.3
0.3125,691.7
0.4688,651.2
0.6250,575.6
0.7812,542.7
0.9375,518.5
1.0938,485.0
1.2500,465.6
1.4062,442.8
1.5625,450.6
1.7188,443.4
1.8750,432.7
2.0312,441.3
2.1875,433.6
2.3438,419.8
2.5000,431.9
2.6562,418.5
2.8125,436.8
2.9688,427.5
3.1250,426.2
3.2812,421.2
3.4375,440.3
3.5938,426.5
3.7500,423.7
3.9062,424.5
4.0625,433.4
4.2188,431.7
4.3750,432.2
4.5312,432.3
4.6875,449.4
4.8438,424.0
5.0000,422.9
5.1562,419.9
5.3125,434.2
5.4688,439.3
5.6250,426.9
5.7812,419.6
5.9375,419.8
6.0938,434.5
6.2500,435.5
6.4062,433.5
6.5625,421.4
6.7188,430.4
6.8750,429.2
7.0312,430.2
7.1875,436.7
7.3438,430.3
7.5000,434.8
7.6562,428.7
7.8125,430.9
7.9688,434.3
8.1250,413.5
8.2812,424.8
8.4375,423.3
8.5938,421.6
8.7500,425.3
8.9062,443.0
9.0625,419.4
9.2188,437.7
9.3750,411.2
9.5312,424.7
9.6875,429.7
9.8438,433.9
10.0000,435.1
10.1562,436.0
10.3125,424.5
10.4688,423.4
10.6250,436.6
10.7812,426.1
10.9375,415.3
11.0938,416.7
11.2500,418.8
11.4062,433.0
11.5625,429.5
11.7188,434.9
11.8750,423.8
12.0312,429.6
12.1875,434.3
12.3438,424.9
12.5000,432.6
